Ahmad Jamal                     ahmad-jamal-mn0000127369
Phineas Newborn                 phineas-newborn-jr-mn0000335889
Roland Kirk                     rahsaan-roland-kirk-mn0000864257
Ray Brown                       ray-brown-mn0000343940
Ray Bryant                      ray-bryant-mn0000869265
Red Garland                     red-garland-mn0000882950
Reggie Workman                  reggie-workman-mn0000884932
Richard Davis                   richard-davis-mn0000851653
Ron Carter                      ron-carter-mn0000275832
Roy Eldridge                    roy-eldridge-mn0000346637
Roy Haynes                      roy-haynes-mn0000290464
Sam Jones                       sam-jones-mn0000239169
Scott LaFaro                    scott-lafaro-mn0000258090
Shelly Manne                    shelly-manne-mn0000019435
Sonny Clark                     sonny-clark-mn0000036934
Sonny Rollins                   sonny-rollins-mn0000039656
Sonny Stitt                     sonny-stitt-mn0000044290
Stan Getz                       stan-getz-mn0000742899
Stanley Turrentine              stanley-turrentine-mn0000012644
Thelonious Monk                 thelonious-monk-mn0000490416
Tina Brooks                     tina-brooks-mn0000600900
Tommy Flanagan                  tommy-flanagan-mn0000519715
Tommy Potter                    tommy-potter-mn0000521303
Tony Williams                   tony-williams-mn0000791318
Vince Guaraldi                  vince-guaraldi-mn0000201678
Warne Marsh                     warne-marsh-mn0000193802
Wayne Shorter                   wayne-shorter-mn0000250435
Wes Montgomery                  wes-montgomery-mn0000248392
Woody Shaw                      woody-shaw-mn0000680003
Wynton Kelly                    wynton-kelly-mn0000684253
Yusef Lateef                    yusef-lateef-mn0000596922
Zoot Sims                       zoot-sims-mn0000228087
